Source,params.n_layers,median_beta_1,median_gamma_1,median_beta_2,median_gamma_2,median_beta_3,median_gamma_3,median_beta_4,median_gamma_4,median_beta_5,median_gamma_5
four_regular_graph,1,-0.29860571376910267,-0.45574248704263226,NA,NA,NA,NA,NA,NA,NA,NA
geometric,1,0.2180528947870259,-0.22904083607536327,NA,NA,NA,NA,NA,NA,NA,NA
nearly_complete_bi_partite,1,-0.3366149492831807,0.41031935436508143,NA,NA,NA,NA,NA,NA,NA,NA
power_law_tree,1,0.3926949336483412,0.7893411797272021,NA,NA,NA,NA,NA,NA,NA,NA
three_regular_graph,1,0.2606892069212245,-0.5703256145066415,NA,NA,NA,NA,NA,NA,NA,NA
uniform_random,1,-0.27800927265535086,0.37498211864722286,NA,NA,NA,NA,NA,NA,NA,NA
watts_strogatz_small_world,1,-0.28320590941371904,-0.4376950636405977,NA,NA,NA,NA,NA,NA,NA,NA
four_regular_graph,2,-0.1809085398908547,-0.37679610230927263,0.23048855405962818,-0.2368414435722257,NA,NA,NA,NA,NA,NA
geometric,2,-0.12151163005673211,0.2920133901596056,-0.11139655040418117,0.08856353351173252,NA,NA,NA,NA,NA,NA
nearly_complete_bi_partite,2,0.15467657186769093,0.3512108059204294,0.13262692263946527,0.19799624153471998,NA,NA,NA,NA,NA,NA
power_law_tree,2,0.28360775733528426,0.6109898144362496,-0.24785916806483307,0.4402187990100601,NA,NA,NA,NA,NA,NA
three_regular_graph,2,-0.23476463720288937,0.4908970705207533,0.21680255728643025,-0.3222900554068127,NA,NA,NA,NA,NA,NA
uniform_random,2,0.19192328994031707,0.31967345863991914,-0.2256421779992607,-0.1721218931850242,NA,NA,NA,NA,NA,NA
watts_strogatz_small_world,2,-0.19010554321076745,0.37650229051643885,-0.2092673012627589,0.14256312136403596,NA,NA,NA,NA,NA,NA
four_regular_graph,3,0.1369720682113712,0.3238218621851797,0.03314505125657189,-0.6130859250175077,0.18367781082684648,-0.21577038093209627,NA,NA,NA,NA
